"Rank","Match Point","Status","Player Name - 1","Membership Number - 1"
"1","3","joining","Dige","0000475097"
"1","3","joining","Lorbag99","0000203688"
"1","3","joining","Iclaf","0000453763"
"1","3","joining","Naffy","0000455271"
"1","3","joining","Blund","0000110798"
"1","3","joining","Fidio","0000118859"
"7","0","joining","Mellow","0000166660"
"7","0","joining","sArnautovic","0000127213"
"7","0","joining","Catta","0000561448"
"7","0","joining","Matteviga","0000207592"
"7","0","joining","Gallo","0000448187"
"7","0","joining","Commo","0000134640"
