Player Stats - Aggregati pre-calcolati,,,,,,,,,,,
Aggiornato automaticamente da import scripts,,,,,,,,,,,
Membership,Name,TCG,Total Tournaments,Total Wins,Current Streak,Best Streak,Top8 Count,Last Rank,Last Date,Seasons Count,Updated At
110798,Blund,OP,16,5,3,4,12,2,2025-11-13,3,2025-11-26 17:42
49228,[SPNV] Jeagerjack,OP,6,3,2,2,4,1,2025-10-30,2,2025-11-26 17:42
138010,PerruX,OP,16,2,0,5,10,10,2025-10-30,2,2025-11-26 17:42
166660,Mellow,OP,19,2,5,5,12,7,2025-11-13,3,2025-11-26 17:42
207592,Matteviga,OP,16,2,5,10,15,4,2025-11-13,3,2025-11-26 17:42
453763,Iclaf,OP,11,2,5,5,7,1,2025-11-13,3,2025-11-26 17:42
118859,Fidio,OP,5,1,3,3,3,8,2025-11-13,2,2025-11-26 17:42
189638,Speedroop ,OP,15,1,0,3,9,12,2025-10-30,2,2025-11-26 17:42
369844,Nicosabbia,OP,6,1,0,3,3,9,2025-10-30,2,2025-11-26 17:42
40654,butti0017,OP,5,0,0,0,0,13,2025-10-02,2,2025-11-26 17:42
47796,Jack Di Spade,OP,1,0,1,1,1,3,2025-09-11,1,2025-11-26 17:42
47891,Pedru99,OP,2,0,0,0,0,11,2025-09-11,2,2025-11-26 17:42
50255,AngiStrife,OP,3,0,0,1,1,22,2025-06-26,1,2025-11-26 17:42
98090,Marcopizza96,OP,2,0,0,0,0,14,2025-10-23,2,2025-11-26 17:42
99126,[SPNV] Astral,OP,4,0,0,1,2,20,2025-07-10,1,2025-11-26 17:42
127213,sArnautovic,OP,16,0,0,3,4,11,2025-11-13,3,2025-11-26 17:42
130102,[SPNV] woooow,OP,6,0,1,1,2,8,2025-10-30,2,2025-11-26 17:42
134640,Commo,OP,11,0,0,4,5,9,2025-11-13,3,2025-11-26 17:42
162634,[SPNV] Bala,OP,7,0,1,3,5,2,2025-09-25,2,2025-11-26 17:42
163876,Barbattack,OP,4,0,0,1,1,14,2025-09-18,2,2025-11-26 17:42
188071,Gamble923,OP,1,0,0,0,0,17,2025-07-03,1,2025-11-26 17:42
203688,Lorbag99,OP,17,0,2,7,11,5,2025-11-13,3,2025-11-26 17:42
235238,Pietro88,OP,9,0,4,4,7,4,2025-10-30,2,2025-11-26 17:42
263458,xGoldron98x,OP,4,0,0,0,0,13,2025-10-23,2,2025-11-26 17:42
272560,Luirusco,OP,3,0,0,0,0,20,2025-06-26,1,2025-11-26 17:42
310604,Nachos Grinder,OP,1,0,0,0,0,17,2025-07-24,1,2025-11-26 17:42
369846,Panz,OP,1,0,1,1,1,6,2025-07-31,1,2025-11-26 17:42
448187,Gallo,OP,9,0,0,1,1,10,2025-11-13,3,2025-11-26 17:42
455271,Naffy,OP,11,0,2,4,6,6,2025-11-13,3,2025-11-26 17:42
457699,Giomaica,OP,1,0,0,0,0,13,2025-08-07,1,2025-11-26 17:42
475097,Dige,OP,19,0,3,3,12,3,2025-11-13,3,2025-11-26 17:42
503284,Darth_tia,OP,1,0,0,0,0,18,2025-10-30,1,2025-11-26 17:42
514629,Fleorio,OP,1,0,0,0,0,11,2025-06-12,1,2025-11-26 17:42
518963,Myrta,OP,9,0,0,0,0,15,2025-10-30,2,2025-11-26 17:42
519246,Papo,OP,3,0,2,2,2,6,2025-10-23,2,2025-11-26 17:42
522894,AnD.reAda,OP,15,0,0,6,12,13,2025-10-30,2,2025-11-26 17:42
532430,offddanii,OP,2,0,0,0,0,14,2025-08-07,1,2025-11-26 17:42
546707,Gire11,OP,2,0,0,0,0,15,2025-07-03,1,2025-11-26 17:42
556527,SilvioPio ,OP,1,0,0,0,0,18,2025-07-24,1,2025-11-26 17:42
561448,Catta,OP,5,0,0,0,0,12,2025-11-13,3,2025-11-26 17:42
569295,Grimmjoow,OP,8,0,0,0,0,19,2025-08-07,1,2025-11-26 17:42
569500,Davekimbo93 ,OP,6,0,0,2,3,14,2025-10-30,2,2025-11-26 17:42
583423,FUMA10,OP,4,0,1,1,1,8,2025-08-07,1,2025-11-26 17:42
593434,Ghostsaibot,OP,1,0,0,0,0,16,2025-09-11,1,2025-11-26 17:42
4733183,Gabriele Ottolini,PKM,1,1,1,1,1,1,2025-11-19,1,2025-11-26 17:42
2739959,Luca Binda,PKM,1,0,1,1,1,5,2025-11-19,1,2025-11-26 17:42
4777408,Federico Viganò,PKM,1,0,1,1,1,4,2025-11-19,1,2025-11-26 17:42
4823435,Alessandro Dozio,PKM,1,0,1,1,1,3,2025-11-19,1,2025-11-26 17:42
5118219,Pietro Colombo,PKM,1,0,0,0,0,9,2025-11-19,1,2025-11-26 17:42
5178816,Davide Vicini,PKM,1,0,1,1,1,2,2025-11-19,1,2025-11-26 17:42
5190946,Federico Nitto,PKM,1,0,1,1,1,7,2025-11-19,1,2025-11-26 17:42
5202994,Mattia Vassena,PKM,1,0,1,1,1,8,2025-11-19,1,2025-11-26 17:42
5209399,Massimo Canepari,PKM,1,0,1,1,1,6,2025-11-19,1,2025-11-26 17:42
