Ranking, Membership Number, User Name, Win Points, OMW %, OOMW %, Memo, Deck URLs
1,0000453763,Iclaf,12,52%,63%,undefined,
2,0000207592,Matteviga,9,54%,56%,undefined,
3,0000475097,Dige,9,52%,53%,undefined,
4,0000110798,Blund,9,52%,54%,undefined,
5,0000203688,Lorbag99,6,69%,56%,undefined,
6,0000455271,Naffy,6,60%,52%,undefined,
7,0000118859,Fidio,6,48%,60%,undefined,
8,0000166660,Mellow,6,48%,56%,undefined,
9,0000134640,Commo,3,52%,54%,undefined,
10,0000448187,Gallo,3,52%,53%,undefined,
11,0000127213,sArnautovic,3,48%,52%,undefined,
12,0000561448,Catta,0,54%,50%,undefined,
