Ranking, Membership Number, User Name, Win Points, OMW %, OOMW %, Memo, Deck URLs
1,0000453763,Iclaf,12,52%,63%,undefined,
2,0000203688,Lorbag99,9,68.8%,55.7%,undefined,
3,0000207592,Matteviga,9,54%,56.2%,undefined,
4,0000475097,Dige,9,52%,52.5%,undefined,
5,0000110798,Blund,6,68.8%,54.1%,undefined,
6,0000455271,Naffy,6,60.3%,52%,undefined,
7,0000118859,Fidio,6,47.8%,60.4%,undefined,
8,0000166660,Mellow,6,47.8%,55.7%,undefined,
9,0000134640,Commo,3,52%,54%,undefined,
10,0000448187,Gallo,3,52%,52.5%,undefined,
11,0000127213,sArnautovic,3,47.8%,51.5%,undefined,
12,0000561448,Catta,0,54%,49.9%,undefined,
