"Rank","Match Point","Status","Player Name - 1","Membership Number - 1"
"1","9","joining","Iclaf","0000453763"
"2","6","joining","Lorbag99","0000203688"
"3","6","joining","Blund","0000110798"
"4","6","joining","Matteviga","0000207592"
"5","6","joining","Dige","0000475097"
"6","6","joining","Naffy","0000455271"
"7","6","joining","Mellow","0000166660"
"8","3","joining","Fidio","0000118859"
"9","3","joining","Commo","0000134640"
"10","3","joining","Gallo","0000448187"
"11","0","joining","Catta","0000561448"
"12","0","joining","sArnautovic","0000127213"
