Ranking, Membership Number, User Name, Win Points, OMW %, OOMW %, Memo, Deck URLs
1,0000118859,Fidio,15,48%,60.2%,undefined,
2,0000138010,PerruX,12,64%,58.9%,undefined,
3,0000522894,AnD.reAda,12,60%,59.2%,undefined,
4,0000569500,KimboDave93 ,9,70.6%,55.4%,undefined,
5,0000110798,Blund,9,60%,52%,undefined,
6,0000207592,Matteviga,9,54.6%,60.8%,undefined,
7,0000162634,[SPNV] Bala,9,54.6%,59.2%,undefined,
8,0000235238,Pietro88,9,54.6%,52.5%,undefined,
9,0000049228,[SPNV] Jeagerjack,9,44%,54.1%,undefined,
10,0000569295,Grimmjoow,6,62.6%,49.8%,undefined,
11,0000475097,Dige,6,58.6%,49.3%,undefined,
12,0000203688,Lorbag99,6,52%,51.4%,undefined,
13,0000127213,sArnautovic,6,50.6%,50.1%,undefined,
14,0000166660,Mellow,6,49.2%,47.7%,undefined,
15,0000546707,Gire11,6,45.2%,46.1%,undefined,
16,0000189638,Speedroop ,3,50.6%,53.2%,undefined,
17,0000188071,Gamble923,3,37.2%,49.2%,undefined,
18,0000134640,Commo,0,42.6%,50%,undefined,
